metroline,Station,departure,sourcesinknode,trip_duration,python index,Drukte,,,
D,Rotterdam centraal,6,source,0,0,7,,,
D,Stadhuis,7,node,1,1,7,,,
D,Beurs,8,node,1,2,8,,,bron drukte: https://www.ret.nl/en/home/reizen/drukte/metro.html
D,Leuvehaven,10,node,2,3,9,,,en https://www.cbs.nl/nl-nl/corporate/2019/05/drukte-rotterdamse-metro-in-beeld
D,Wilhelminaplein,12,node,2,4,9,,,https://www.ret.nl/home/reizen/drukte/uitleg-drukte-indicator.html
D,Reinhaven,13,node,1,5,8,,,
D,Maashaven,15,node,2,6,6,,,
D,Zuidplein,17,node,2,7,8,,,
D,Slinge,19,node,2,8,4,,,
D,Rhoon,24,node,5,9,5,,,
D,Poortugaal,27,node,3,10,5,,,
D,Tussenwater,29,node,2,11,2,,,
D,Hoogvliet,30,node,1,12,3,,,
D,Zalmplaat,31,node,1,13,3,,,
D,Spijkenisse Centrum,34,node,3,14,4,,,
D,Heemraadlaan,36,node,2,15,3,,,
D,De Akkers,38,sink,2,16,3,,,
D,De Akkers,5,source,0,17,3,,,
D,Heemraadlaan,7,node,2,18,3,,,
D,Spijkenisse Centrum,8,node,1,19,4,,,
D,Zalmplaat,11,node,3,20,3,,,
D,Hoogvliet,12,node,1,21,3,,,
D,Tussenwater,14,node,2,22,2,,,
D,Poortugaal,16,node,2,23,5,,,
D,Rhoon,19,node,3,24,5,,,
D,Slinge,24,node,5,25,4,,,
D,Zuidplein,26,node,2,26,8,,,
D,Maashaven,29,node,3,27,6,,,
D,Reinhaven,30,node,1,28,8,,,
D,Wilhelminaplein,31,node,1,29,9,,,
D,Leuvehaven,33,node,2,30,9,,,
D,Beurs,35,node,2,31,8,,,
D,Stadhuis,36,node,1,32,7,,,
D,Rotterdam centraal,38,sink,2,33,7,,,
B,Hoek van Holland Strand,8,source,0,34,6,,,
B,Hoek van Holland Haven,11,node,3,35,6,,,
B,Steendijkpolder,18,node,7,36,4,,,
B,Maassluis West,19,node,1,37,4,,,
B,Maassluis Centrum,22,node,3,38,4,,,
B,Vlaardingen West,26,node,4,39,5,,,
B,Vlaardingen Centrum,28,node,2,40,5,,,
B,Vlaardingen Oost,30,node,2,41,6,,,
B,Schiedam Nieuwland,32,node,2,42,6,,,
B,Schiedam Centrum,35,node,3,43,7,,,
B,Marconiplein,38,node,3,44,6,,,
B,Delfshaven,39,node,1,45,8,,,
B,Coolhaven,41,node,2,46,7,,,
B,Dijkzicht,42,node,1,47,7,,,
B,Eendrachtsplein,43,node,1,48,7,,,
B,Beurs,44,node,1,49,8,,,
B,Blaak,46,node,2,50,8,,,
B,Oostplein,47,node,1,51,8,,,
B,Gerdesiaweg,49,node,2,52,8,,,
B,Voorschoterlaan,50,node,1,53,7,,,
B,Kralingse Zoom,52,node,2,54,7,,,
B,Capelsebrug,54,node,2,55,6,,,
B,Schenkel,57,node,3,56,5,,,
B,Prinsenlaan,59,node,2,57,5,,,
B,Oosterflank,0,node,1,58,5,,,
B,Alexander,2,node,2,59,5,,,
B,Graskruid,3,node,1,60,5,,,
B,Hesseplaats,5,node,2,61,4,,,
B,Nieuw Verlaat,7,node,2,62,4,,,
B,Ambachtsland,9,node,2,63,4,,,
B,De Tochten,10,node,1,64,2,,,
B,Nesselande,12,sink,2,65,4,,,
B,Nesselande,8,source,0,66,4,,,
B,De Tochten,10,node,2,67,2,,,
B,Ambachtsland,12,node,2,68,4,,,
B,Nieuw Verlaat,13,node,1,69,4,,,
B,Hesseplaats,15,node,2,70,4,,,
B,Graskruid,17,node,2,71,5,,,
B,Alexander,18,node,1,72,5,,,
B,Oosterflank,20,node,2,73,5,,,
B,Prinsenlaan,21,node,1,74,5,,,
B,Schenkel,23,node,2,75,5,,,
B,Capelsebrug,26,node,3,76,6,,,
B,Kralingse Zoom,28,node,2,77,7,,,
B,Voorschoterlaan,30,node,2,78,7,,,
B,Gerdesiaweg,31,node,1,79,8,,,
B,Oostplein,33,node,2,80,8,,,
B,Blaak,34,node,1,81,8,,,
B,Beurs,36,node,2,82,8,,,
B,Eendrachtsplein,37,node,1,83,7,,,
B,Dijkzicht,38,node,1,84,7,,,
B,Coolhaven,40,node,2,85,7,,,
B,Delfshaven,41,node,1,86,8,,,
B,Marconiplein,43,node,2,87,6,,,
B,Schiedam Centrum,46,node,3,88,7,,,
B,Schiedam Nieuwland,49,node,3,89,6,,,
B,Vlaardingen Oost,51,node,2,90,6,,,
B,Vlaardingen Centrum,53,node,2,91,5,,,
B,Vlaardingen West,55,node,2,92,5,,,
B,Maassluis Centrum,59,node,4,93,4,,,
B,Maassluis West,1,node,2,94,4,,,
B,Steendijkpolder,3,node,2,95,4,,,
B,Hoek van Holland Haven,10,node,7,96,6,,,
B,Hoek van Holland Strand,12,sink,2,97,6,,,
A,Vlaardingen West,15,source,3,98,5,,,
A,Vlaardingen Centrum,19,node,4,99,5,,,
A,Vlaardingen Oost,21,node,2,100,6,,,
A,Schiedam Nieuwland,23,node,2,101,6,,,
A,Schiedam Centrum,2,node,0,102,7,,,
A,Marconiplein,3,node,1,103,6,,,
A,Delfshaven,5,node,2,104,8,,,
A,Coolhaven,6,node,1,105,7,,,
A,Dijkzicht,7,node,1,106,7,,,
A,Eendrachtsplein,9,node,2,107,7,,,
A,Beurs,10,node,1,108,8,,,
A,Blaak,11,node,1,109,8,,,
A,Oostplein,13,node,2,110,8,,,
A,Gerdesiaweg,14,node,1,111,8,,,
A,Voorschoterlaan,15,node,1,112,7,,,
A,Kralingse Zoom,18,node,3,113,7,,,
A,Capelsebrug,20,node,2,114,6,,,
A,Schenkel,22,node,2,115,5,,,
A,Prinsenlaan,24,node,2,116,5,,,
A,Oosterflank,26,node,2,117,5,,,
A,Alexander,27,node,1,118,5,,,
A,Graskruid,29,node,2,119,5,,,
A,Romeynshof,31,node,2,120,3,,,
A,Binnenhof,32,sink,1,121,4,,,
A,Binnenhof,7,source,0,122,4,,,
A,Romeynshof,8,node,1,123,3,,,
A,Graskruid,10,node,2,124,5,,,
A,Alexander,12,node,2,125,5,,,
A,Oosterflank,13,node,1,126,5,,,
A,Prinsenlaan,15,node,2,127,5,,,
A,Schenkel,17,node,2,128,5,,,
A,Capelsebrug,19,node,2,129,6,,,
A,Kralingse Zoom,22,node,3,130,7,,,
A,Voorschoterlaan,24,node,2,131,7,,,
A,Gerdesiaweg,25,node,1,132,8,,,
A,Oostplein,26,node,1,133,8,,,
A,Blaak,28,node,2,134,8,,,
A,Beurs,29,node,1,135,8,,,
A,Eendrachtsplein,31,node,2,136,7,,,
A,Dijkzicht,32,node,1,137,7,,,
A,Coolhaven,33,node,1,138,7,,,
A,Delfshaven,35,node,2,139,8,,,
A,Marconiplein,36,node,1,140,6,,,
A,Schiedam Centrum,39,node,3,141,7,,,
A,Schiedam Nieuwland,42,node,3,142,6,,,
A,Vlaardingen Oost,44,node,2,143,6,,,
A,Vlaardingen Centrum,46,node,2,144,5,,,
A,Vlaardingen West,48,sink,2,145,5,,,
C,De Akkers,7,source,0,146,3,,,
C,Heemraadlaan,9,node,2,147,3,,,
C,Spijkenisse Centrum,11,node,2,148,4,,,
C,Zalmplaat,14,node,3,149,3,,,
C,Hoogvliet,15,node,1,150,3,,,
C,Tussenwater,17,node,2,151,2,,,
C,Pernis,20,node,3,152,2,,,
C,Vijfsluizen,23,node,3,153,2,,,
C,Troelstralaan,25,node,2,154,2,,,
C,Parkweg,26,node,1,155,3,,,
C,Schiedam Centrum,28,node,2,156,3,,,
C,Marconiplein,31,node,3,157,7,,,
C,Delfshaven,33,node,2,158,6,,,
C,Coolhaven,34,node,1,159,8,,,
C,Dijkzicht,35,node,1,160,7,,,
C,Eendrachtsplein,37,node,2,161,7,,,
C,Beurs,38,node,1,162,7,,,
C,Blaak,39,node,1,163,8,,,
C,Oostplein,41,node,2,164,8,,,
C,Gerdesiaweg,42,node,1,165,8,,,
C,Voorschoterlaan,43,node,1,166,8,,,
C,Kralingse Zoom,46,node,3,167,7,,,
C,Capelsebrug,48,node,2,168,7,,,
C,Slotlaan,50,node,2,169,6,,,
