type,source,target,Label,weight,mode,lon,lat,Exits,Location,metroline,function,train_station,sourcesinknode,,closest_metro
nodelink,Rotterdam centraal,Stadhuis,.,,metro,51.923495,4.470059,3,Centraal,D,metro_station,yes,source,FALSE,None
nodelink,Stadhuis,Beurs,.,,metro,51.923411,4.478019,3,Noord,D,metro_station,no,node,FALSE,None
nodelink,Beurs,Leuvehaven,.,,metro,51.918266,4.481274,5,Oost,D,metro_station,no,node,FALSE,None
nodelink,Leuvehaven,Wilhelminaplein,.,,metro,51.913694,4.481781,4,Zuid,D,metro_station,no,node,FALSE,None
nodelink,Wilhelminaplein,Reinhaven,.,,metro,51.907162,4.490299,3,West,D,metro_station,no,node,FALSE,None
nodelink,Reinhaven,Maashaven,.,,metro,51.9037,4.496808,2,test,D,metro_station,no,node,FALSE,None
nodelink,Maashaven,Zuidplein,.,,metro,51.897181,4.494685,3,test,D,metro_station,no,node,FALSE,None
nodelink,Zuidplein,Slinge,.,,metro,51.886926,4.488384,2,test,D,metro_station,no,node,FALSE,None
nodelink,Slinge,Rhoon,.,,metro,51.874678,4.477723,2,test,D,metro_station,no,node,FALSE,None
nodelink,Rhoon,Poortugaal,.,,metro,51.859171,4.419816,2,test,D,metro_station,no,node,FALSE,None
nodelink,Poortugaal,Tussenwater,.,,metro,51.861684,4.395824,2,test,D,metro_station,no,node,FALSE,None
nodelink,Tussenwater,Hoogvliet,.,,metro,51.862762,4.376451,2,test,D,metro_station,no,node,FALSE,None
nodelink,Hoogvliet,Zalmplaat,.,,metro,51.860635,4.366855,2,test,D,metro_station,no,node,FALSE,None
nodelink,Zalmplaat,Spijkenisse Centrum,.,,metro,51.854852,4.362302,4,test,D,metro_station,no,node,FALSE,None
nodelink,Spijkenisse Centrum,Heemraadlaan,.,,metro,51.846428,4.334334,4,test,D,metro_station,no,node,FALSE,None
nodelink,Heemraadlaan,De Akkers,.,,metro,51.837742,4.331663,3,test,D,metro_station,no,node,FALSE,None
node,De Akkers,,.,,metro,51.833216,4.319116,4,test,D,metro_station,no,sink,FALSE,None
nodelink,Hoek van Holland Strand,Hoek van Holland Haven,.,,metro,51.98553806,4.107917154,2,test,B,metro_station,no,source,FALSE,None
nodelink,Hoek van Holland Haven,Steendijkpolder,.,,metro,51.97489279,4.12821539,2,test,B,metro_station,no,node,FALSE,None
nodelink,Steendijkpolder,Maassluis West,.,,metro,51.93275488,4.224839492,2,test,B,metro_station,no,node,FALSE,None
nodelink,Maassluis West,Maassluis Centrum,.,,metro,51.92634292,4.235194795,2,test,B,metro_station,no,node,FALSE,None
nodelink,Maassluis Centrum,Vlaardingen West,.,,metro,51.91635767,4.254017971,2,test,B,metro_station,no,node,FALSE,None
nodelink,Vlaardingen West,Vlaardingen Centrum,.,,metro,51.90380101,4.314990349,2,test,B,metro_station,no,node,FALSE,None
nodelink,Vlaardingen Centrum,Vlaardingen Oost,.,,metro,51.90312181,4.344009994,2,test,B,metro_station,no,node,FALSE,None
nodelink,Vlaardingen Oost,Schiedam Nieuwland,.,,metro,51.91014998,4.361640033,2,test,B,metro_station,no,node,FALSE,None
nodelink,Schiedam Nieuwland,Schiedam Centrum,.,,metro,51.92288513,4.383819456,2,test,B,metro_station,no,node,FALSE,None
nodelink,Schiedam Centrum,Marconiplein,.,,metro,51.921934,4.409746,2,test,B,metro_station,no,node,FALSE,None
nodelink,Marconiplein,Delfshaven,.,,metro,51.91325514,4.432668546,2,test,B,metro_station,no,node,FALSE,None
nodelink,Delfshaven,Coolhaven,.,,metro,51.91007656,4.445875924,2,test,B,metro_station,no,node,FALSE,None
nodelink,Coolhaven,Dijkzicht,.,,metro,51.90945131,4.458003373,2,test,B,metro_station,no,node,FALSE,None
nodelink,Dijkzicht,Eendrachtsplein,.,,metro,51.912215,4.466743,5,test,B,metro_station,no,node,FALSE,None
nodelink,Eendrachtsplein,Beurs,.,,metro,51.916025,4.472898,5,test,B,metro_station,no,node,FALSE,None
nodelink,Beurs,Blaak,.,,metro,51.918264,4.481345,5,test,B,metro_station,no,node,FALSE,None
nodelink,Blaak,Oostplein,.,,metro,51.918626,4.483765,3,test,B,metro_station,yes,node,FALSE,None
nodelink,Oostplein,Gerdesiaweg,.,,metro,51.9231129,4.496625459,2,test,B,metro_station,no,node,FALSE,None
nodelink,Gerdesiaweg,Voorschoterlaan,.,,metro,51.92589596,4.506070468,2,test,B,metro_station,no,node,FALSE,None
nodelink,Voorschoterlaan,Kralingse Zoom,.,,metro,51.92507976,4.512662146,2,test,B,metro_station,no,node,FALSE,None
nodelink,Kralingse Zoom,Capelsebrug,.,,metro,51.92162655,4.533139951,4,test,B,metro_station,no,node,FALSE,None
nodelink,Capelsebrug,Schenkel,.,,metro,51.92130705,4.557491868,2,test,B,metro_station,no,node,FALSE,None
nodelink,Schenkel,Prinsenlaan,.,,metro,51.93231913,4.563429147,2,test,B,metro_station,no,node,FALSE,None
nodelink,Prinsenlaan,Oosterflank,.,,metro,51.94042123,4.5565852,2,test,B,metro_station,no,node,FALSE,None
nodelink,Oosterflank,Alexander,.,,metro,51.9457755,4.554389333,4,test,B,metro_station,no,node,FALSE,None
nodelink,Alexander,Graskruid,.,,metro,51.95149693,4.551925984,2,test,B,metro_station,yes,node,FALSE,None
nodelink,Graskruid,Hesseplaats,.,,metro,51.9569347,4.549523234,2,test,B,metro_station,no,node,FALSE,None
nodelink,Hesseplaats,Nieuw Verlaat,.,,metro,51.9630146,4.552436547,6,test,B,metro_station,no,node,FALSE,None
nodelink,Nieuw Verlaat,Ambachtsland,.,,metro,51.96492206,4.562150907,4,test,B,metro_station,no,node,FALSE,None
nodelink,Ambachtsland,De Tochten,.,,metro,51.9658037,4.570337777,2,test,B,metro_station,no,node,FALSE,None
nodelink,De Tochten,Nesselande,.,,metro,51.96876531,4.578360549,2,test,B,metro_station,no,node,FALSE,None
node,Nesselande,,.,,metro,51.979661,4.586525,2,test,B,metro_station,no,sink,FALSE,None
nodelink,De Akkers,Heemraadlaan,.,,metro,51.833216,4.319116,4,test,C,metro_station,no,source,FALSE,None
nodelink,Heemraadlaan,Spijkenisse Centrum,.,,metro,51.837742,4.331663,3,test,C,metro_station,no,node,FALSE,None
nodelink,Spijkenisse Centrum,Zalmplaat,.,,metro,51.846428,4.334334,4,test,C,metro_station,no,node,FALSE,None
nodelink,Zalmplaat,Hoogvliet,.,,metro,51.854852,4.362302,4,test,C,metro_station,no,node,FALSE,None
nodelink,Hoogvliet,Tussenwater,.,,metro,51.860635,4.366855,2,test,C,metro_station,no,node,FALSE,None
nodelink,Tussenwater,Pernis,.,,metro,51.862762,4.376451,2,test,C,metro_station,no,node,FALSE,None
nodelink,Pernis,Vijfsluizen,.,,metro,51.88488867,4.38212953,2,test,C,metro_station,no,node,FALSE,None
nodelink,Vijfsluizen,Troelstralaan,.,,metro,51.90908239,4.372221364,2,test,C,metro_station,no,node,FALSE,None
nodelink,Troelstralaan,Parkweg,.,,metro,51.91547995,4.384710107,3,test,C,metro_station,no,node,FALSE,None
nodelink,Parkweg,Schiedam Centrum,.,,metro,51.9214101,4.394862087,2,test,C,metro_station,no,node,FALSE,None
nodelink,Schiedam Centrum,Marconiplein,.,,metro,51.921934,4.409746,2,test,C,metro_station,no,node,FALSE,None
nodelink,Marconiplein,Delfshaven,.,,metro,51.91352956,4.432182077,2,test,C,metro_station,no,node,FALSE,None
nodelink,Delfshaven,Coolhaven,.,,metro,51.90999797,4.445387664,2,test,C,metro_station,no,node,FALSE,None
nodelink,Coolhaven,Dijkzicht,.,,metro,51.90945867,4.458027362,2,test,C,metro_station,no,node,FALSE,None
nodelink,Dijkzicht,Eendrachtsplein,.,,metro,51.91238899,4.466384182,5,test,C,metro_station,no,node,FALSE,None
nodelink,Eendrachtsplein,Beurs,.,,metro,51.916025,4.472898,5,test,C,metro_station,no,node,FALSE,None
nodelink,Beurs,Blaak,.,,metro,51.918266,4.481274,5,test,C,metro_station,no,node,FALSE,None
nodelink,Blaak,Oostplein,.,,metro,51.918626,4.483765,3,test,C,metro_station,yes,node,FALSE,None
nodelink,Oostplein,Gerdesiaweg,.,,metro,51.92303222,4.496611359,2,test,C,metro_station,no,node,FALSE,None
nodelink,Gerdesiaweg,Voorschoterlaan,.,,metro,51.9258768,4.506079315,2,test,C,metro_station,no,node,FALSE,None
nodelink,Voorschoterlaan,Kralingse Zoom,.,,metro,51.92507975,4.512626552,2,test,C,metro_station,no,node,FALSE,None
nodelink,Kralingse Zoom,Capelsebrug,.,,metro,51.92163202,4.533103665,4,test,C,metro_station,no,node,FALSE,None
nodelink,Capelsebrug,Slotlaan,.,,metro,51.92126993,4.557512582,2,test,C,metro_station,no,node,FALSE,None
nodelink,Slotlaan,Capelle Centrum,.,,metro,51.92847162,4.578461684,2,test,C,metro_station,no,node,FALSE,None
nodelink,Capelle Centrum,De Terp,.,,metro,51.93138201,4.589444844,4,test,C,metro_station,no,node,FALSE,None
node,De Terp,,.,,metro,51.9358734,4.600176783,2,test,C,metro_station,no,sink,FALSE,None
nodelink,Schiedam Centrum,Marconiplein,.,,metro,51.921934,4.409746,2,test,A,metro_station,no,source,FALSE,None
