index,criminal_detection_police,crim_Mguard_percent,crim_Sguard_percent,init_call_delay
0,50,50,50,1
1,50,50,50,3
2,50,50,50,6
3,50,50,70,1
4,50,50,70,3
5,50,50,70,6
6,50,50,90,1
7,50,50,90,3
8,50,50,90,6
9,50,70,50,1
10,50,70,50,3
11,50,70,50,6
12,50,70,70,1
13,50,70,70,3
14,50,70,70,6
15,50,70,90,1
16,50,70,90,3
17,50,70,90,6
18,50,90,50,1
19,50,90,50,3
20,50,90,50,6
21,50,90,70,1
22,50,90,70,3
23,50,90,70,6
24,50,90,90,1
25,50,90,90,3
26,50,90,90,6
27,70,50,50,1
28,70,50,50,3
29,70,50,50,6
30,70,50,70,1
31,70,50,70,3
32,70,50,70,6
33,70,50,90,1
34,70,50,90,3
35,70,50,90,6
36,70,70,50,1
37,70,70,50,3
38,70,70,50,6
39,70,70,70,1
40,70,70,70,3
41,70,70,70,6
42,70,70,90,1
43,70,70,90,3
44,70,70,90,6
45,70,90,50,1
46,70,90,50,3
47,70,90,50,6
48,70,90,70,1
49,70,90,70,3
50,70,90,70,6
51,70,90,90,1
52,70,90,90,3
53,70,90,90,6
54,90,50,50,1
55,90,50,50,3
56,90,50,50,6
57,90,50,70,1
58,90,50,70,3
59,90,50,70,6
60,90,50,90,1
61,90,50,90,3
62,90,50,90,6
63,90,70,50,1
64,90,70,50,3
65,90,70,50,6
66,90,70,70,1
67,90,70,70,3
68,90,70,70,6
69,90,70,90,1
70,90,70,90,3
71,90,70,90,6
72,90,90,50,1
73,90,90,50,3
74,90,90,50,6
75,90,90,70,1
76,90,90,70,3
77,90,90,70,6
78,90,90,90,1
79,90,90,90,3
80,90,90,90,6
