index,criminal_detection_police,crim_Mguard_percent,crim_Sguard_percent,init_call_delay,info_update_freq
0,50,50,50,1,1
1,50,50,50,1,3
2,50,50,50,1,6
3,50,50,50,1,10
4,50,50,50,3,1
5,50,50,50,3,3
6,50,50,50,3,6
7,50,50,50,3,10
8,50,50,50,6,1
9,50,50,50,6,3
10,50,50,50,6,6
11,50,50,50,6,10
12,50,50,70,1,1
13,50,50,70,1,3
14,50,50,70,1,6
15,50,50,70,1,10
16,50,50,70,3,1
17,50,50,70,3,3
18,50,50,70,3,6
19,50,50,70,3,10
20,50,50,70,6,1
21,50,50,70,6,3
22,50,50,70,6,6
23,50,50,70,6,10
24,50,50,90,1,1
25,50,50,90,1,3
26,50,50,90,1,6
27,50,50,90,1,10
28,50,50,90,3,1
29,50,50,90,3,3
30,50,50,90,3,6
31,50,50,90,3,10
32,50,50,90,6,1
33,50,50,90,6,3
34,50,50,90,6,6
35,50,50,90,6,10
36,50,70,50,1,1
37,50,70,50,1,3
38,50,70,50,1,6
39,50,70,50,1,10
40,50,70,50,3,1
41,50,70,50,3,3
42,50,70,50,3,6
43,50,70,50,3,10
44,50,70,50,6,1
45,50,70,50,6,3
46,50,70,50,6,6
47,50,70,50,6,10
48,50,70,70,1,1
49,50,70,70,1,3
50,50,70,70,1,6
51,50,70,70,1,10
52,50,70,70,3,1
53,50,70,70,3,3
54,50,70,70,3,6
55,50,70,70,3,10
56,50,70,70,6,1
57,50,70,70,6,3
58,50,70,70,6,6
59,50,70,70,6,10
60,50,70,90,1,1
61,50,70,90,1,3
62,50,70,90,1,6
63,50,70,90,1,10
64,50,70,90,3,1
65,50,70,90,3,3
66,50,70,90,3,6
67,50,70,90,3,10
68,50,70,90,6,1
69,50,70,90,6,3
70,50,70,90,6,6
71,50,70,90,6,10
72,50,90,50,1,1
73,50,90,50,1,3
74,50,90,50,1,6
75,50,90,50,1,10
76,50,90,50,3,1
77,50,90,50,3,3
78,50,90,50,3,6
79,50,90,50,3,10
80,50,90,50,6,1
81,50,90,50,6,3
82,50,90,50,6,6
83,50,90,50,6,10
84,50,90,70,1,1
85,50,90,70,1,3
86,50,90,70,1,6
87,50,90,70,1,10
88,50,90,70,3,1
89,50,90,70,3,3
90,50,90,70,3,6
91,50,90,70,3,10
92,50,90,70,6,1
93,50,90,70,6,3
94,50,90,70,6,6
95,50,90,70,6,10
96,50,90,90,1,1
97,50,90,90,1,3
98,50,90,90,1,6
99,50,90,90,1,10
100,50,90,90,3,1
101,50,90,90,3,3
102,50,90,90,3,6
103,50,90,90,3,10
104,50,90,90,6,1
105,50,90,90,6,3
106,50,90,90,6,6
107,50,90,90,6,10
108,70,50,50,1,1
109,70,50,50,1,3
110,70,50,50,1,6
111,70,50,50,1,10
112,70,50,50,3,1
113,70,50,50,3,3
114,70,50,50,3,6
115,70,50,50,3,10
116,70,50,50,6,1
117,70,50,50,6,3
118,70,50,50,6,6
119,70,50,50,6,10
120,70,50,70,1,1
121,70,50,70,1,3
122,70,50,70,1,6
123,70,50,70,1,10
124,70,50,70,3,1
125,70,50,70,3,3
126,70,50,70,3,6
127,70,50,70,3,10
128,70,50,70,6,1
129,70,50,70,6,3
130,70,50,70,6,6
131,70,50,70,6,10
132,70,50,90,1,1
133,70,50,90,1,3
134,70,50,90,1,6
135,70,50,90,1,10
136,70,50,90,3,1
137,70,50,90,3,3
138,70,50,90,3,6
139,70,50,90,3,10
140,70,50,90,6,1
141,70,50,90,6,3
142,70,50,90,6,6
143,70,50,90,6,10
144,70,70,50,1,1
