index,crim_Mguard_percent,crim_Sguard_percent,init_call_delay,info_update_freq
0,50,50,1,1
1,50,50,1,3
2,50,50,1,6
3,50,50,1,10
4,50,50,3,1
5,50,50,3,3
6,50,50,3,6
7,50,50,3,10
8,50,50,6,1
9,50,50,6,3
10,50,50,6,6
11,50,50,6,10
12,50,70,1,1
13,50,70,1,3
14,50,70,1,6
15,50,70,1,10
16,50,70,3,1
17,50,70,3,3
18,50,70,3,6
19,50,70,3,10
20,50,70,6,1
21,50,70,6,3
22,50,70,6,6
23,50,70,6,10
24,50,90,1,1
25,50,90,1,3
26,50,90,1,6
27,50,90,1,10
28,50,90,3,1
29,50,90,3,3
30,50,90,3,6
31,50,90,3,10
32,50,90,6,1
33,50,90,6,3
34,50,90,6,6
35,50,90,6,10
36,70,50,1,1
37,70,50,1,3
38,70,50,1,6
39,70,50,1,10
40,70,50,3,1
41,70,50,3,3
42,70,50,3,6
43,70,50,3,10
44,70,50,6,1
45,70,50,6,3
46,70,50,6,6
47,70,50,6,10
48,70,70,1,1
49,70,70,1,3
50,70,70,1,6
51,70,70,1,10
52,70,70,3,1
53,70,70,3,3
54,70,70,3,6
55,70,70,3,10
56,70,70,6,1
57,70,70,6,3
58,70,70,6,6
59,70,70,6,10
60,70,90,1,1
61,70,90,1,3
62,70,90,1,6
63,70,90,1,10
64,70,90,3,1
65,70,90,3,3
66,70,90,3,6
67,70,90,3,10
68,70,90,6,1
69,70,90,6,3
70,70,90,6,6
71,70,90,6,10
72,90,50,1,1
73,90,50,1,3
74,90,50,1,6
75,90,50,1,10
76,90,50,3,1
77,90,50,3,3
78,90,50,3,6
79,90,50,3,10
80,90,50,6,1
81,90,50,6,3
82,90,50,6,6
83,90,50,6,10
84,90,70,1,1
85,90,70,1,3
86,90,70,1,6
87,90,70,1,10
88,90,70,3,1
89,90,70,3,3
90,90,70,3,6
91,90,70,3,10
92,90,70,6,1
93,90,70,6,3
94,90,70,6,6
95,90,70,6,10
96,90,90,1,1
97,90,90,1,3
98,90,90,1,6
99,90,90,1,10
100,90,90,3,1
101,90,90,3,3
102,90,90,3,6
103,90,90,3,10
104,90,90,6,1
105,90,90,6,3
106,90,90,6,6
107,90,90,6,10
