scenario,crim_pos,crim_strat,crim_bounded_rat,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
0,centre,random,True,True,10,furthest,metro_platform,main,3,5
1,centre,random,True,True,10,furthest,metro_platform,main,5,5
2,centre,random,True,True,10,furthest,metro_platform,main,10,5
3,centre,random,True,True,10,furthest,metro_platform,side,3,5
4,centre,random,True,True,10,furthest,metro_platform,side,5,5
5,centre,random,True,True,10,furthest,metro_platform,side,10,5
6,centre,random,True,True,10,furthest,station_exit,main,3,5
7,centre,random,True,True,10,furthest,station_exit,main,5,5
8,centre,random,True,True,10,furthest,station_exit,main,10,5
9,centre,random,True,True,10,furthest,station_exit,side,3,5
10,centre,random,True,True,10,furthest,station_exit,side,5,5
11,centre,random,True,True,10,furthest,station_exit,side,10,5
12,centre,random,True,True,10,largest,metro_platform,main,3,5
13,centre,random,True,True,10,largest,metro_platform,main,5,5
14,centre,random,True,True,10,largest,metro_platform,main,10,5
15,centre,random,True,True,10,largest,metro_platform,side,3,5
16,centre,random,True,True,10,largest,metro_platform,side,5,5
17,centre,random,True,True,10,largest,metro_platform,side,10,5
18,centre,random,True,True,10,largest,station_exit,main,3,5
19,centre,random,True,True,10,largest,station_exit,main,5,5
20,centre,random,True,True,10,largest,station_exit,main,10,5
21,centre,random,True,True,10,largest,station_exit,side,3,5
22,centre,random,True,True,10,largest,station_exit,side,5,5
23,centre,random,True,True,10,largest,station_exit,side,10,5
24,centre,random,True,True,10,surround,metro_platform,main,3,5
25,centre,random,True,True,10,surround,metro_platform,main,5,5
26,centre,random,True,True,10,surround,metro_platform,main,10,5
27,centre,random,True,True,10,surround,metro_platform,side,3,5
28,centre,random,True,True,10,surround,metro_platform,side,5,5
29,centre,random,True,True,10,surround,metro_platform,side,10,5
30,centre,random,True,True,10,surround,station_exit,main,3,5
31,centre,random,True,True,10,surround,station_exit,main,5,5
32,centre,random,True,True,10,surround,station_exit,main,10,5
33,centre,random,True,True,10,surround,station_exit,side,3,5
34,centre,random,True,True,10,surround,station_exit,side,5,5
35,centre,random,True,True,10,surround,station_exit,side,10,5
36,centre,random,True,False,10,furthest,metro_platform,main,3,5
37,centre,random,True,False,10,furthest,metro_platform,main,5,5
38,centre,random,True,False,10,furthest,metro_platform,main,10,5
39,centre,random,True,False,10,furthest,metro_platform,side,3,5
40,centre,random,True,False,10,furthest,metro_platform,side,5,5
