scenario,crim_pos,crim_strat,crim_bounded_rat,crim_bound_rat_time,crim_loose_goal,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
0,centre,random,TRUE,1,TRUE,TRUE,10,furthest,metro_platform,main,3,5
1,centre,random,TRUE,1,TRUE,TRUE,10,furthest,metro_platform,main,5,5
2,centre,random,TRUE,1,TRUE,TRUE,10,furthest,metro_platform,main,10,5
3,centre,random,TRUE,1,TRUE,TRUE,10,furthest,metro_platform,side,3,5
4,centre,random,TRUE,1,TRUE,TRUE,10,furthest,metro_platform,side,5,5
5,centre,random,TRUE,1,TRUE,TRUE,10,furthest,metro_platform,side,10,5
6,centre,random,TRUE,1,TRUE,TRUE,10,furthest,station_exit,main,3,5
7,centre,random,TRUE,1,TRUE,TRUE,10,furthest,station_exit,main,5,5
8,centre,random,TRUE,1,TRUE,TRUE,10,furthest,station_exit,main,10,5
9,centre,random,TRUE,1,TRUE,TRUE,10,furthest,station_exit,side,3,5
10,centre,random,TRUE,1,TRUE,TRUE,10,furthest,station_exit,side,5,5
11,centre,random,TRUE,1,TRUE,TRUE,10,furthest,station_exit,side,10,5
12,centre,random,TRUE,1,TRUE,TRUE,10,largest,metro_platform,main,3,5
13,centre,random,TRUE,1,TRUE,TRUE,10,largest,metro_platform,main,5,5
14,centre,random,TRUE,1,TRUE,TRUE,10,largest,metro_platform,main,10,5
15,centre,random,TRUE,1,TRUE,TRUE,10,largest,metro_platform,side,3,5
16,centre,random,TRUE,1,TRUE,TRUE,10,largest,metro_platform,side,5,5
17,centre,random,TRUE,1,TRUE,TRUE,10,largest,metro_platform,side,10,5
18,centre,random,TRUE,1,TRUE,TRUE,10,largest,station_exit,main,3,5
19,centre,random,TRUE,1,TRUE,TRUE,10,largest,station_exit,main,5,5
20,centre,random,TRUE,1,TRUE,TRUE,10,largest,station_exit,main,10,5
21,centre,random,TRUE,1,TRUE,TRUE,10,largest,station_exit,side,3,5
22,centre,random,TRUE,1,TRUE,TRUE,10,largest,station_exit,side,5,5
23,centre,random,TRUE,1,TRUE,TRUE,10,largest,station_exit,side,10,5
24,centre,random,TRUE,1,TRUE,TRUE,10,surround,metro_platform,main,3,5
25,centre,random,TRUE,1,TRUE,TRUE,10,surround,metro_platform,main,5,5
26,centre,random,TRUE,1,TRUE,TRUE,10,surround,metro_platform,main,10,5
27,centre,random,TRUE,1,TRUE,TRUE,10,surround,metro_platform,side,3,5
28,centre,random,TRUE,1,TRUE,TRUE,10,surround,metro_platform,side,5,5
29,centre,random,TRUE,1,TRUE,TRUE,10,surround,metro_platform,side,10,5
30,centre,random,TRUE,1,TRUE,TRUE,10,surround,station_exit,main,3,5
31,centre,random,TRUE,1,TRUE,TRUE,10,surround,station_exit,main,5,5
32,centre,random,TRUE,1,TRUE,TRUE,10,surround,station_exit,main,10,5
33,centre,random,TRUE,1,TRUE,TRUE,10,surround,station_exit,side,3,5
34,centre,random,TRUE,1,TRUE,TRUE,10,surround,station_exit,side,5,5
35,centre,random,TRUE,1,TRUE,TRUE,10,surround,station_exit,side,10,5
36,centre,random,TRUE,1,TRUE,FALSE,10,furthest,metro_platform,main,3,5
37,centre,random,TRUE,1,TRUE,FALSE,10,furthest,metro_platform,main,5,5
38,centre,random,TRUE,1,TRUE,FALSE,10,furthest,metro_platform,main,10,5
39,centre,random,TRUE,1,TRUE,FALSE,10,furthest,metro_platform,side,3,5
40,centre,random,TRUE,1,TRUE,FALSE,10,furthest,metro_platform,side,5,5
41,centre,random,TRUE,1,TRUE,FALSE,10,furthest,metro_platform,side,10,5
42,centre,random,TRUE,1,TRUE,FALSE,10,furthest,station_exit,main,3,5
43,centre,random,TRUE,1,TRUE,FALSE,10,furthest,station_exit,main,5,5
44,centre,random,TRUE,1,TRUE,FALSE,10,furthest,station_exit,main,10,5
45,centre,random,TRUE,1,TRUE,FALSE,10,furthest,station_exit,side,3,5
46,centre,random,TRUE,1,TRUE,FALSE,10,furthest,station_exit,side,5,5
47,centre,random,TRUE,1,TRUE,FALSE,10,furthest,station_exit,side,10,5
48,centre,random,TRUE,1,TRUE,FALSE,10,largest,metro_platform,main,3,5
49,centre,random,TRUE,1,TRUE,FALSE,10,largest,metro_platform,main,5,5
50,centre,random,TRUE,1,TRUE,FALSE,10,largest,metro_platform,main,10,5
51,centre,random,TRUE,1,TRUE,FALSE,10,largest,metro_platform,side,3,5
52,centre,random,TRUE,1,TRUE,FALSE,10,largest,metro_platform,side,5,5
53,centre,random,TRUE,1,TRUE,FALSE,10,largest,metro_platform,side,10,5
54,centre,random,TRUE,1,TRUE,FALSE,10,largest,station_exit,main,3,5
55,centre,random,TRUE,1,TRUE,FALSE,10,largest,station_exit,main,5,5
56,centre,random,TRUE,1,TRUE,FALSE,10,largest,station_exit,main,10,5
57,centre,random,TRUE,1,TRUE,FALSE,10,largest,station_exit,side,3,5
58,centre,random,TRUE,1,TRUE,FALSE,10,largest,station_exit,side,5,5
59,centre,random,TRUE,1,TRUE,FALSE,10,largest,station_exit,side,10,5
60,centre,random,TRUE,1,TRUE,FALSE,10,surround,metro_platform,main,3,5
61,centre,random,TRUE,1,TRUE,FALSE,10,surround,metro_platform,main,5,5
62,centre,random,TRUE,1,TRUE,FALSE,10,surround,metro_platform,main,10,5
63,centre,random,TRUE,1,TRUE,FALSE,10,surround,metro_platform,side,3,5
64,centre,random,TRUE,1,TRUE,FALSE,10,surround,metro_platform,side,5,5
65,centre,random,TRUE,1,TRUE,FALSE,10,surround,metro_platform,side,10,5
66,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,main,3,5
67,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,main,5,5
68,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,main,10,5
69,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,side,3,5
70,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,side,5,5
71,centre,random,TRUE,1,TRUE,FALSE,10,surround,station_exit,side,10,5
72,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,main,3,5
73,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,main,5,5
74,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,main,10,5
75,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,side,3,5
76,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,side,5,5
77,centre,random,TRUE,1,FALSE,TRUE,10,furthest,metro_platform,side,10,5
78,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,main,3,5
79,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,main,5,5
80,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,main,10,5
81,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,side,3,5
82,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,side,5,5
83,centre,random,TRUE,1,FALSE,TRUE,10,furthest,station_exit,side,10,5
84,centre,random,TRUE,1,FALSE,TRUE,10,largest,metro_platform,main,3,5
85,centre,random,TRUE,1,FALSE,TRUE,10,largest,metro_platform,main,5,5
86,centre,random,TRUE,1,FALSE,TRUE,10,largest,metro_platform,main,10,5
